backend,k,epsilon,sigma,tau,draws_per_block,total_queries,terminal_index,target_rate,empirical_central_kth_moment,encode_nanoseconds_per_query,decode_nanoseconds_per_query,public_plan_bytes_per_query,plan_fingerprint,implementation_crosscheck_z,estimate,target,signed_bias_over_epsilon,mean_ci95_halfwidth_over_epsilon,second_moment,second_moment_se,normalized_second_moment,normalized_second_moment_ci95_halfwidth
dyadic,3.0,0.4,1.0,1.5916228831585566,400000,800000,3,15.832896263712225,0.9974456452165495,13.463906361721456,16.680416301824152,11.50007,f4ced773c74ab7e84fad4f8c59b15cb480d8b7fb505d9b4b9e9400497bbbcfbe,-0.23720042547885548,0.19896895442100057,0.2,-0.0025776139474986,0.006623455926648718,17.834124426679892,0.02130694239998798,7.0399802923116805,0.016485299976231608
continuous,3.0,0.4,1.0,1.5916228831585566,400000,400000,-1,15.832896263712225,0.9933794718512026,3.513960400596261,11.262499610893428,33.0,f8759db6c47e79efaab8a6cc241f1a87bb117c8402e26ce316f362e25095f2f8,0.0047056284850993555,0.20113183074671234,0.2,0.002829576866780828,0.006618949228700285,29.44600902517753,0.0757960606253035,11.623745481687983,0.05864383415357946
dyadic,3.0,0.25,1.0,1.5916228831585566,400000,800000,3,40.5322144351033,0.9997934208050987,13.387656363192946,18.964687478728592,11.50007,59a89c7e8b9ea94ff0211dbf0f43859f4aa2fcbf37751d9890103314d699d6e7,0.9580883906049983,0.198140170440271,0.2,-0.007439318238916082,0.010609671677562289,17.847972730473963,0.021329175400527218,7.045446878921695,0.01650250177254666
continuous,3.0,0.25,1.0,1.5916228831585566,400000,400000,-1,40.5322144351033,1.0016097553179677,2.803750103339553,9.448647033423185,33.0,dabd29e0f583ee58f702c61a5d015375bac2ec33b1d604a562a282acdc1cb08d,-0.6887951035130192,0.19919583391245504,0.2,-0.0032166643501798653,0.01061567230662769,29.95538637634064,0.07788291149867413,11.824821039295598,0.06025844229431369
dyadic,3.0,0.16,1.0,1.5916228831585566,400000,800000,3,98.95560164820141,0.9981191738667025,13.919791381340474,19.255363731645048,11.50007,ce0bbc135429f045fe65b53ee37dc868a979bef8bebcf4f87ec2f0874abf3a3b,-0.11270012294484326,0.20153627633909896,0.2,0.009601727119368415,0.016559422180510378,17.843708273335487,0.021328619160899377,7.043763494108736,0.016502071406849346
continuous,3.0,0.16,1.0,1.5916228831585566,400000,400000,-1,98.95560164820141,0.9938738843927736,4.698854754678905,10.09125029668212,33.0,97e6dc5ccf8773d9524856d4eaffeafe6c21c4a2bceaf8030b37fb5bf4d5d4bd,-0.7741116586855943,0.19796546503231566,0.2,-0.012715843548027211,0.016545932034096742,30.01726797109757,0.07751518687835039,11.849248658904099,0.059973931708004226
dyadic,3.0,0.1,1.0,1.5916228831585566,400000,800000,4,253.3263402193956,0.9977668628991733,15.95052017364651,18.981978646479547,11.50009,bda584e0a514ff3460ec7151035c23023d64aa8eb73dcab6cb191f27a59b2f1c,-0.007589884801333398,0.20161289001328545,0.2,0.01612890013285434,0.026509135686713325,17.85861318182392,0.021328098926849972,7.049647173032737,0.01650166889886855
continuous,3.0,0.1,1.0,1.5916228831585566,400000,400000,-1,253.3263402193956,0.9980864988500008,5.2470824448391795,10.122605017386377,33.0,6c85d484f8d0f33bae6547ac134e4296a5412554ea1dacd3f2fa49ff965c42a9,1.0013238522404269,0.19893243571357172,0.2,-0.010675642864282908,0.026503734272891887,30.30051875511974,0.07839189649097196,11.961061265432441,0.0606522468169858
dyadic,3.0,0.063,1.0,1.5916228831585566,400000,800000,4,638.2623840246803,0.9994088507837549,13.61151022138074,19.10432241857052,11.50009,784a860f8ed673cb0fa4336140be1ea9695df8e270df9aebe12ce5045c48602c,-0.21414937973625,0.1995896957560015,0.2,-0.006512765777754223,0.042067602757204677,17.850680105115106,0.021300098397216624,7.0465156089395835,0.01648000473317862
continuous,3.0,0.063,1.0,1.5916228831585566,400000,400000,-1,638.2623840246803,1.0003507254182433,3.329790197312832,15.69458283483982,33.0,5c8f95bf4ae0499dc485782a6cea1e0969d049d3bd491ba6a0746efff14d2540,-1.2895209498713702,0.20130024928320647,0.2,0.020638877511213675,0.04208978512346645,30.49750429933859,0.07875307012684936,12.038820863604608,0.06093168887015195
dyadic,2.0,0.4,1.0,1.4422205101855958,400000,800000,6,29.672170823499997,0.928693013365993,11.620468576438725,19.55020852619782,11.50013,d1f8f9128c62d286578f3d591216b152955c2a509e9b5277f45ca4c3bc24b09d,1.3493409095344555,0.20031033833383982,0.2,0.0007758458345995256,0.007466252855925946,91.4301664858671,31.08191264435552,19.258400200503594,12.832004512180921
continuous,2.0,0.4,1.0,1.4422205101855958,400000,400000,-1,29.672170823499997,0.884872502955925,1.7120852135121822,14.521352713927627,33.0,a5d5ee96acd8eb9accbc5b5b7f0a7dae7660af7c73afc95c18b2d53a645caaec,1.972436858496189,0.2014169599449265,0.2,0.003542399862316234,0.0069565874649360265,68.48976787505443,2.279807843120057,14.426347562008202,0.9412067032218059
dyadic,2.0,0.25,1.0,1.4422205101855958,400000,800000,6,91.60247808945807,0.83612366701526,15.193125000223517,19.043957581743598,11.50013,686db37903de240fc019397d22fbafe78f03462508577ae4504e66977ffd097e,-0.7781147017860126,0.2010432988876432,0.2,0.004173195550572717,0.011335001593067238,67.29989723050211,9.293728144943861,11.755122548501834,3.181696835109755
continuous,2.0,0.25,1.0,1.4422205101855958,400000,400000,-1,91.60247808945807,0.8262454846265136,4.384479834698141,11.943437857553363,33.0,3f3d4a3459a120c5fdb560a95d31cd43b84aa6af5e740e589a9f9b42aea8cafa,-1.0495443626977026,0.2001170707095534,0.2,0.00046828283821354066,0.011239550450372698,76.092258541896,2.596921590534138,13.290864636668026,0.8890530341288102
dyadic,2.0,0.16,1.0,1.4422205101855958,400000,800000,7,259.89968961165,0.8578614083919278,11.470363824628294,17.49437506077811,11.50015,f253f6794522c3541c5aa6bab21966f271d8099b7ca6550b8e16bc94e71062b0,-1.456175953174513,0.19980234904987598,0.2,-0.0012353184382751792,0.017939700636252703,83.81580609421341,13.989273637652174,12.597379129030141,4.121027479806326
continuous,2.0,0.16,1.0,1.4422205101855958,400000,400000,-1,259.89968961165,0.8376907108460985,4.746562335640192,13.481250498443842,33.0,1bbd90355c15b385d0d25e781555e1e2df9b44129128b8d592547016c85aa425,0.25120604144838643,0.20033605602890292,0.2,0.002100350180643182,0.01771341109604531,84.5139519395022,4.348760195054863,12.70230931237258,1.2810786843623971
